book_title,isbn,description
Unfamiliar Fishes,1594487871,"Many think of 1776 as the defining year of American history, when we became a nation devoted to the pursuit of happiness through self- government. In <em>Unfamiliar Fishes,</em> Sarah Vowell argues that 1898 might be a year just as defining, when, in an orgy of imperialism, the United States annexed Hawaii, Puerto Rico, and Guam, and invaded first Cuba, then the Philippines, becoming an international superpower practically overnight.<br><br>Among the developments in these outposts of 1898, Vowell considers the Americanization of Hawaii the most intriguing. From the arrival of New England missionaries in 1820, their goal to Christianize the local heathen, to the coup d'état of the missionaries' sons in 1893, which overthrew the Hawaiian queen, the events leading up to American annexation feature a cast of beguiling, and often appealing or tragic, characters: whalers who fired cannons at the Bible-thumpers denying them their God-given right to whores, an incestuous princess pulled between her new god and her brother-husband, sugar barons, lepers, con men, Theodore Roosevelt, and the last Hawaiian queen, a songwriter whose sentimental ode ""Aloha 'Oe"" serenaded the first Hawaiian president of the United States during his 2009 inaugural parade.<br><br>With her trademark smart-alecky insights and reporting, Vowell lights out to discover the off, emblematic, and exceptional history of the fiftieth state, and in so doing finds America, warts and all."
The Robber Bride,0385491034,"Margaret Atwood's <em>The Robber Bride</em> is inspired by ""The Robber Bridegroom,"" a wonderfully grisly tale from the Brothers Grimm in which an evil groom lures three maidens into his lair and devours them, one by one. But in her version, Atwood brilliantly recasts the monster as Zenia, a villainess of demonic proportions, and sets her loose in the lives of three friends, Tony,  Charis, and Roz. All three ""have lost men, spirit, money, and time to their old college acquaintance, Zenia. At various times, and in various emotional disguises, Zenia has insinuated her way into their lives and practically demolished them. To Tony, who almost lost her husband and jeopardized her academic career, Zenia is 'a lurking enemy  commando.' To Roz, who did lose her husband and almost her magazine, Zenia is 'a cold and treacherous bitch.' To Charis, who lost a boyfriend, quarts of vegetable juice and some pet chickens, Zenia is a kind of zombie, maybe 'soulless'"" (Lorrie Moore, <em>New York Times Book  Review</em>). In love and war, illusion and deceit, Zenia's subterranean malevolence takes us deep into her enemies' pasts."
Ready Player One,030788743X,"In the year 2044, reality is an ugly place. The only time teenage Wade Watts really feels alive is when he's jacked into the virtual utopia known as the  OASIS. Wade's devoted his life to studying the puzzles hidden within this world's digital confines, puzzles that are based on their creator's obsession with the pop culture of decades past and that promise massive power and fortune to whoever can unlock them. When Wade stumbles upon the first clue, he finds himself beset by players willing to kill to take this ultimate prize. The race is on, and if Wade's going to survive, he'll have to win—and confront the real world he's always been so desperate to escape."
"Ender's Game (The Ender Quintet, #1)",0812550706,"In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut—young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training.<br><br>Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister. <br><br>Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If, that is, the world survives.<br><br>Ender's Game is the winner of the 1985 Nebula Award for Best Novel and the 1986 Hugo Award for Best Novel."
The Miracle of Mindfulness: An Introduction to the Practice of Meditation,0807012394,"In this beautiful and lucid guide, Zen master Thich Nhat Hanh offers gentle anecdotes and practical exercise as a means of learning the skills of mindfulness--being awake and fully aware. From washing the dishes to answering the phone to peeling an orange, he reminds us that each moment holds within it an opportunity to work toward greater self-understanding and peacefulness."
Boomerang: Travels in the New Third World,0393343448,"The tsunami of cheap credit that rolled across the planet between 2002 and 2008 was more than a simple financial phenomenon: it was temptation, offering entire societies the chance to reveal aspects of their characters they could not normally afford to indulge.<br><br><br>Icelanders wanted to stop fishing and become investment bankers. The Greeks wanted to turn their country into a pinata stuffed with cash and allow as many citizens as possible to take a whack at it. The Germans wanted to be even more German; the Irish wanted to stop being Irish.<br><br><br>Michael Lewis's investigation of bubbles beyond our shores is so brilliantly, sadly hilarious that it leads the American reader to a comfortable complacency: oh, those foolish foreigners. But when he turns a merciless eye on California and Washington, DC, we see that the narrative is a trap baited with humor, and we understand the reckoning that awaits the greatest and greediest of debtor nations."
The 4 Hour Work Week: eSpresso Summary,"",
"In the Plex: How Google Thinks, Works, and Shapes Our Lives",1416596585,"Written with full cooperation from top management, including cofounders Sergey Brin and Larry Page, this is the inside story behind Google, the most successful and most admired technology company of our time, told by one of our best technology writers.<br><br>Few companies in history have ever been as successful and as admired as Google, the company that has transformed the Internet and become an indispensable part of our lives. How has Google done it? Veteran technology reporter Steven Levy was granted unprecedented access to the company, and in this revelatory book he takes readers inside Google headquarters&amp;#8212;the Googleplex&amp;#8212;to show how Google works.<br><br> While they were still students at Stanford, Google cofounders Larry Page and Sergey Brin revolutionized Internet search. They followed this brilliant innovation with another, as two of Google&amp;#8217;s earliest employees found a way to do what no one else had: make billions of dollars from Internet advertising. With this cash cow, Google was able to expand dramatically and take on other transformative projects: more efficient data centers, open-source cell phones, free Internet video (YouTube), cloud computing, digitizing books, and much more.<br><br> The key to Google&amp;#8217;s success in all these businesses, Levy reveals, is its engineering mind-set and adoption of such Internet values as speed, openness, experimentation, and risk taking. After its unapologetically elitist approach to hiring, Google pampers its engineers&amp;#8212;free food and dry cleaning, on-site doctors and masseuses&amp;#8212;and gives them all the resources they need to succeed. Even today, with a workforce of more than 23,000, Larry Page signs off on every hire.<br><br> But has Google lost its innovative edge? With its newest initiative, social networking, Google is chasing a successful competitor for the first time. Some employees are leaving the company for smaller, nimbler start-ups. Can the company that famously decided not to be evil still compete?<br><br> No other book has ever turned Google inside out as Levy does with <em>In the Plex</em>."
Life of Pi,0770430074,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker."
The Old Man and the Sea,0684830493,"Here, for a change, is a fish tale that actually does honor to the author. <em>The Old Man &amp; the Sea</em> revived Hemingway's career, which was foundering under the weight of such postwar stinkers as <em>Across the River &amp; into the Trees</em>. It also led directly to his receipt of the 1954 Nobel Prize--an award he gladly accepted, despite his earlier observation that ""no son of a bitch that ever won the Nobel Prize ever wrote anything worth reading afterwards"". A half century later, it's still easy to see why. This tale of an aged Cuban fisherman going head-to-head with a magnificent marlin encapsulates Hemingway's favorite motifs of physical &amp; moral challenge. Yet Santiago is too old &amp; infirm to partake of the gun-toting machismo that disfigured much of the author's later work: ""The brown blotches of the benevolent skin cancer the sun brings from its reflection on the tropic sea were on his cheeks. The blotches ran well down the sides of his face &amp; his hands had the deep-creased scars from handling heavy fish on the cords."" Hemingway's style, too, reverts to those superb snapshots of perception that won him his initial fame:  ""Just before it was dark, as they passed a great island of Sargasso weed that heaved &amp; swung in the light sea as tho the ocean were making love with something under a yellow blanket, his small line was taken by a dolphin. He saw it first when it jumped in the air, true gold in the last of the sun &amp; bending &amp; flapping wildly in the air."" If a younger Hemingway had written this novella, Santiago most likely would have towed the enormous fish back to port &amp; posed for a triumphal photograph--just as the author delighted in doing, ca. 1935. Instead his prize gets devoured by a school of sharks. Returning with little more than a skeleton, he takes to his bed &amp;, in the last line, cements his identification with his creator: ""The old man was dreaming about the lions."" Perhaps there's some allegory of art &amp; experience floating around in there somewhere--but <em>The Old Man &amp; the Sea</em> was, in any case, the last great catch of Hemingway's career.--James Marcus (edited)"
How to Be Black,0062003216,"If You Don't Buy This Book, You're a Racist.<br><br>Have you ever been called ""too black"" or ""not black enough""?<br><br>Have you ever befriended or worked with a black person?<br><br>If you answered yes to any of these questions, this book is for you.<br><br>Raised by a pro-black, Pan-Afrikan single mother during the crack years of 1980s Washington, DC, and educated at Sidwell Friends School and Harvard University, Baratunde Thurston has over thirty years' experience being black. Now, through stories of his politically inspired Nigerian name, the heroics of his hippie mother, the murder of his drug-abusing father, and other revelatory black details, he shares with readers of all colors his wisdom and expertise in how to be black.<br><br>Beyond memoir, this guidebook offers practical advice on everything from ""How to Be The Black Friend"" to ""How to Be The (Next) Black President"" to ""How to Celebrate Black History Month.""<br><br>To provide additional perspective, Baratunde assembled an award-winning Black Panel—three black women, three black men, and one white man (Christian Lander of Stuff White People Like)—and asked them such revealing questions as:<br><br>""When Did You First Realize You Were Black?""<br><br>""How Black Are You?""<br><br>""Can You Swim?""<br><br>The result is a humorous, intelligent, and audacious guide that challenges and satirizes the so-called experts, purists, and racists who purport to speak for all black people. With honest storytelling and biting wit, Baratunde plots a path not just to blackness, but one open to anyone interested in simply ""how to be."""
The Commitments,0749391685,"Barrytown, Dublin, has something to sing about. The Commitments are spreading the gospel of the soul. Ably managed by Jimmy Rabbitte, brilliantly coached by Joey 'The Lips' Fagan, their twin assault on Motown and Barrytown takes them by leaps and bounds from the parish hall to the steps of the studio door. But can The Commitments live up to their name?"
The Information Diet: A Case for Conscious Consumption,1449304680,"The modern human animal spends upwards of 11 hours out of every 24 in a state of constant consumption. Not eating, but <em>gorging</em> on information ceaselessly spewed from the screens and speakers we hold dear. Just as we have grown morbidly obese on sugar, fat, and flour—so, too, have we become gluttons for texts, instant messages, emails, RSS feeds, downloads, videos, status updates, and tweets.<br><br>We're all battling a storm of distractions, buffeted with notifications and tempted by tasty tidbits of information. And just as too much junk food can lead to obesity, too much junk information can lead to cluelessness. <em>The Information Diet</em> shows you how to thrive in this information glut—what to look for, what to avoid, and how to be selective. In the process, author Clay Johnson explains the role information has played throughout history, and why following his prescribed diet is essential for everyone who strives to be smart, productive, and sane.<br><br>In <em>The Information Diet</em>, you will:<br><br><br>Discover why eminent scholars are worried about our state of attention and general intelligence<br>Examine how today’s media—Big Info—give us exactly what we want: content that confirms our beliefs<br>Learn to take steps to develop data literacy, attention fitness, and a healthy sense of humor<br>Become engaged in the economics of information by learning how to reward good information providers<br>Just like a normal, healthy food diet, <em>The Information Diet</em> is not about consuming less—it’s about finding a healthy balance that works for you"
The Rest Is Noise: Listening to the Twentieth Century,0374249393,"<em>The Rest Is Noise: Listening to the Twentieth Century</em> is a voyage into the labyrinth of modern music, which remains an obscure world for most people. While paintings of Picasso and Jackson Pollock sell for a hundred million dollars or more, and lines from T. S. Eliot are quoted on the yearbook pages of alienated teenagers across the land, twentieth-century classical music still sends ripples of unease through audiences. At the same time, its influence can be felt everywhere. Atonal chords crop up in jazz. Avant-garde sounds populate the soundtracks of Hollywood thrillers. Minimalism has had a huge effect on rock, pop, and dance music from the Velvet Underground onward.<br><br><em>The Rest Is Noise</em> shows why twentieth-century composers felt compelled to create a famously bewildering variety of sounds, from the purest beauty to the purest noise. It tells of a remarkable array of maverick personalities who resisted the cult of the classical past, struggled against the indifference of a wide public, and defied the will of dictators. Whether they have charmed audiences with sweet sounds or battered them with dissonance, composers have always been exuberantly of the present, defying the stereotype of classical music as a dying art. The narrative goes from Vienna before the First World War to Paris in the twenties, from Hitler's Germany and Stalin's Russia to downtown New  York in the sixties and seventies. We follow the rise of mass culture and mass politics, of dramatic new technologies, of hot and cold wars, of experiments, revolutions, riots, and friendships forged and broken. The end result is not so much a history of twentieth-century music as a history of the twentieth century through its music."
The Road,0307265439,"A searing, post apocalyptic novel destined to become Cormac McCarthy’s masterpiece.<br><br>A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other."
Stumbling on Happiness,1400077427,"• Why are lovers quicker to forgive their partners for infidelity than for leaving dirty dishes in the sink?• Why will sighted people pay more to avoid going blind than blind people will pay to regain their sight? • Why do dining companions insist on ordering different meals instead of getting what they really want? • Why do pigeons seem to have such excellent aim; why can’t we remember one song while listening to another; and why does the line at the grocery store always slow down the moment we join it?In this brilliant, witty, and accessible book, renowned Harvard psychologist Daniel Gilbert describes the foibles of imagination and illusions of foresight that cause each of us to misconceive our tomorrows and misestimate our satisfactions. Vividly bringing to life the latest scientific research in psychology, cognitive neuroscience, philosophy, and behavioral economics, Gilbert reveals what scientists have discovered about the uniquely human ability to imagine the future, and about our capacity to predict how much we will like it when we get there. With penetrating insight and sparkling prose, Gilbert explains why we seem to know so little about the hearts and minds of the people we are about to become."
"The Hunger Games (The Hunger Games, #1)",0439023483,"<strong>Winning will make you famous. <br>Losing means certain death.</strong><br><br>The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.<br><br>When 16-year-old Katniss's young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives. , she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature."
We Are All Weird: The Myth of Mass and The End of Compliance,1455821225,"We Are All Weird is a celebration of choice, of treating different people differently and of embracing the notion that everyone deserves the dignity and respect that comes from being heard. The book calls for end of mass and for the beginning of offering people more choices, more interests and giving them more authority to operate in ways that reflect their own unique values.<br>For generations, marketers, industrialists and politicians have tried to force us into little boxes, complying with their idea of what we should buy, use or want. And in an industrial, mass-market driven world, this was efficient and it worked. But what we learned in this new era is that mass limits our choice because it succeeds on conformity.<br><br>As Godin has identified, a new era of weirdness is upon us. People with more choices, more interests and the power to do something about it are stepping forward and insisting that the world work in a different way. By enabling choice we allow people to survive and thrive."
Walden and On the Duty of Civil Disobedience,1500470422,
Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics,0517548233,"A million copy seller, Henry Hazlitt’s <em>Economics in One Lesson</em> is a classic economic primer. But it is also much more, having become a fundamental influence on modern “libertarian” economics of the type espoused by Ron Paul and others.<br><br>Considered among the leading economic thinkers of the “Austrian School,” which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist. He was the founding vice-president of the Foundation for Economic Education and an early editor of <em>The Freeman</em> magazine, an influential libertarian publication.  Hazlitt wrote <em>Economics in One Lesson</em>, his seminal work, in 1946. Concise and instructive, it is also deceptively prescient and far-reaching in its efforts to dissemble economic fallacies that are so prevalent they have almost become a new orthodoxy.<br><br>Many current economic commentators across the political spectrum have credited Hazlitt with foreseeing the collapse of the global economy which occurred more than 50 years after the initial publication of <em>Economics in One Lesson</em>. Hazlitt’s focus on non-governmental solutions, strong — and strongly reasoned — anti-deficit position, and general emphasis on free markets, economic liberty of individuals, and the dangers of government intervention make <em>Economics in One Lesson</em>, every bit as relevant and valuable today as it has been since publication."
"Thinking, Fast and Slow",0374275637,"In the highly anticipated <em>Thinking, Fast and Slow</em>, Kahneman takes us on a groundbreaking tour of the mind and explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. Kahneman exposes the extraordinary capabilities—and also the faults and biases—of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. The impact of loss aversion and overconfidence on corporate strategies, the difficulties of predicting what will make us happy in the future, the challenges of properly framing risks at work and at home, the profound effect of cognitive biases on everything from playing the stock market to planning the next vacation—each of these can be understood only by knowing how the two systems work together to shape our judgments and decisions.<br><br>Engaging the reader in a lively conversation about how we think, Kahneman reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives—and how we can use different techniques to guard against the mental glitches that often get us into trouble. <em>Thinking, Fast and Slow</em> will transform the way you think about thinking."
"Nutrition Diva's Secrets for a Healthy Diet: What to Eat, What to Avoid, and What to Stop Worrying About",0312676417,"Tired of trying to figure out what you should be eating for breakfast, or whether it's ever OK to eat before going to bed?  Want to know which type of milk, or cereals, or meats are best so that food shopping is easier? Millions of people already eat, look, and feel better thanks to popular podcast host and board-certified nutritionist Monica Reinagel. In her highly-anticipated guidebook she sorts through all the conflicting nutrition information out there and busts outdated food myths, so you'll know exactly what to eat (and what to avoid) once and for all. Don't worry if pasta makes you happy, if chocolate keeps you sane, or if you just can't stand broccoli; no food is off limits and none is required. Instead, Monica walks you through every aisle of the grocery store and through each meal and snack of the day, helping you make healthier choices and answering your burning questions, including:<br>How often should you eat?<br>Which organic foods are worth the extra cost?<br>Does cooking vegetables destroy the vitamins?<br>Should foods be combined in certain ways for better digestion?<br>Complete with grocery shopping lists, simple, delicious recipes, and sample meal plans, Nutrition Diva's <em>Secrets for a Healthy Diet</em> will have you feeling healthier, looking better than ever before, and no longer worrying about what to eat for dinner."
Nutrition Zombies: Top 10 Myths That Refuse to Die: (And How to Keep Them From Sabotaging Your Diet),1466805242,"In Nutrition Zombies, licensed nutritionist and dedicated myth-buster, Monica Reinagel (aka the Nutrition Diva), drives a stake through the heart of 10 persistent nutrition myths -- so that you can get on with the business of eating well and feeling fabulous.  <br> <br>Next time you get one of those emails from your mother warning that drinking ice water with meals causes stomach cancer, or your spinning instructor starts explaining the importance of a regular ""cleanse,"" or your co-worker claims that today's fruits and vegetables are completely devoid of nutrients, you'll be armed with the actual facts.  <br> <br>Eating healthy isn't as difficult (or as joyless) as you've been led to believe. In this brief but fact-filled book, Monica sifts through the science and the silliness, separates food fact from food fiction, and offers her unique spin on the art of eating well.<br><br><br>"
How to Win at Losing: 10 Diet Myths that Keep You From Succeeding,"","Make this the last year that ""losing weight"" tops your list of New Year's Resolutions!<br><br>Licensed nutritionist and dedicated myth-buster Monica Reinagel (aka the Nutrition Diva) tackles the 10 biggest weight loss myths that keep you from achieving your goals.<br><br>Elaborate theories and complicated regimens sell books and magazines but they (obviously) don't offer a real solution. In this brief but empowering book, Monica sifts through the science and the silliness, separates food fact from food fiction, and reveals simple strategies that lead to lasting success."
I am a Pole (And So Can You!),1455523429,"""The sad thing is, I like it"" - Maurice Sendak<br><br>""The perfect gift to give a child or grandchild for their high school or college graduation.<br>Also Father's Day.<br>Also, other times."" <br><br>- Stephen Colbert"
Armageddon's Song (Volume 2) 'Advance to Contact' Abridged Edition,"",
My Stroke of Insight: A Brain Scientist's Personal Journey,1430300612,"A brain scientist's journey from a debilitating stroke to full recovery becomes an inspiring exploration of human consciousness and its possibilities<br><br> On the morning of December 10, 1996, Jill Bolte Taylor, a thirty-seven-year-old Harvard-trained brain scientist, experienced a massive stroke when a blood vessel exploded in the left side of her brain. A neuroanatomist by profession, she observed her own mind completely deteriorate to the point that she could not walk, talk, read, write, or recall any of her life, all within the space of four brief hours. As the damaged left side of her brain--the rational, grounded, detail- and time-oriented side--swung in and out of function, Taylor alternated between two distinct and opposite realities: the euphoric nirvana of the intuitive and kinesthetic right brain, in which she felt a sense of complete well-being and peace; and the logical, sequential left brain, which recognized Jill was having a stroke, and enabled her to seek help before she was lost completely.<br><br> In <em>My Stroke of Insight</em>, Taylor shares her unique perspective on the brain and its capacity for recovery, and the sense of omniscient understanding she gained from this unusual and inspiring voyage out of the abyss of a wounded brain. It would take eight years for Taylor to heal completely. Because of her knowledge of how the brain works, her respect for the cells composing her human form, and most of all an amazing mother, Taylor completely repaired her mind and recalibrated her understanding of the world according to the insights gained from her right brain that morning of December 10th.  <br><br> Today Taylor is convinced that the stroke was the best thing that could have happened to her. It has taught her that the feeling of nirvana is never more than a mere thought away. By <em>stepping to the right of our left brains</em>, we can all uncover the feelings of well-being and peace that are so often sidelined by our own brain chatter. A fascinating journey into the mechanics of the human mind, <em>My Stroke of Insight</em> is both a valuable recovery guide for anyone touched by a brain injury, and an emotionally stirring testimony that deep internal peace truly is accessible to anyone, at any time."
The Twelve Tribes of Hattie,0385350287,"A debut of extraordinary distinction: Ayana Mathis tells the story of the children of the Great Migration through the trials of one unforgettable family. <br><br> In 1923, fifteen-year-old Hattie Shepherd flees Georgia and settles in Philadelphia, hoping for a chance at a better life. Instead, she marries a man who will bring her nothing but disappointment and watches helplessly as her firstborn twins succumb to an illness a few pennies could have prevented.  Hattie gives birth to nine more children whom she raises with grit and mettle and not an ounce of the tenderness they crave.  She vows to prepare them for the calamitous difficulty they are sure to face in their later lives, to meet a world that will not love them, a world that will not be kind. Captured here in twelve luminous narrative threads, their lives tell the story of a mother’s monumental courage and the journey of a nation. <br><br> Beautiful and devastating, Ayana Mathis’s <em>The Twelve Tribes of Hattie</em> is wondrous from first to last—glorious, harrowing, unexpectedly uplifting, and blazing with life. An emotionally transfixing page-turner, a searing portrait of striving in the face of insurmountable adversity, an indelible encounter with the resilience of the human spirit and the driving force of the American dream, Mathis’s first novel heralds the arrival of a major new voice in contemporary fiction. "
What Technology Wants,0670022152,"""Verbalizing visceral feelings about technology, whether attraction or repulsion, Kelly explores the “technium,” his term for the globalized, interconnected stage of technological development. Arguing that the processes creating the technium are akin to those of biological evolution, Kelly devotes the opening sections of his exposition to that analogy, maintaining that the technium exhibits a similar tendency toward self-organizing complexity. Having defined the technium, Kelly addresses its discontents, as expressed by the Unabomber (although Kelly admits to trepidation in taking seriously the antitechnology screeds of a murderer) and then as lived by the allegedly technophobic Amish. From his observations and discussions with some Amish people, Kelly extracts some precepts of their attitudes toward gadgets, suggesting folk in the secular world can benefit from the Amish approach of treating tools as servants of self and society rather than as out-of-control masters. Exploring ramifications of technology on human welfare and achievement, Kelly arrives at an optimistic outlook that will interest many, coming, as it does, from the former editor of Wired magazine.""<br><br>Gilbert Taylor, Booklist"
How to Be a High School Superstar: A Revolutionary Plan to Get into College by Standing Out (Without Burning Out),0767932587,"<strong>Do Less, Live More, Get Accepted</strong><br> <br> <br>What if getting into your reach schools didn’t require four years of excessive A.P.-taking, overwhelming activity schedules, and constant stress?<br><em> </em><br>In <em>How to Be a High School Superstar,</em> Cal Newport explores the world of relaxed superstars—students who scored spots at the nation’s top colleges by leading uncluttered, low stress, and authentic lives. Drawing from extensive interviews and cutting-edge science, Newport explains the surprising truths behind these superstars’ mixture of happiness and admissions success, including:<br> <br>·        Why doing <em>less</em> is the foundation for becoming <em>more</em> impressive.<br>·        Why <em>demonstrating passion</em> is meaningless, but <em>being interesting</em> is crucial.<br>·        Why accomplishments that are <em>hard to explain</em> are better than accomplishments that are <em>hard to do.</em><br> <br>These insights are accompanied by step-by-step instructions to help any student adopt the relaxed superstar lifestyle—proving that getting into college doesn’t have to be a chore to survive, but instead can be the reward for living a genuinely interesting life.<br> "
"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, and 46 Other Ways You're Deluding Yourself",1592406599,"<strong> An entertaining illumination of the stupid beliefs that make us feel wise. </strong><br><br>Whether you’re deciding which smart phone to purchase or which politician to believe, you think you are a rational being whose every decision is based on cool, detached logic, but here’s the truth: You are not so smart. You’re just as deluded as the rest of us--but that’s okay, because being deluded is part of being human. <br><br>Growing out of David McRaney’s popular blog, <em>You Are Not So Smart</em> reveals that every decision we make, every thought we contemplate, and every emotion we feel comes with a story we tell ourselves to explain them, but often these stories aren’t true. Each short chapter--covering topics such as Learned Helplessness, Selling Out, and the Illusion of Transparency--is like a psychology course with all the boring parts taken out.<br><br>Bringing together popular science and psychology with humor and wit, <em>You Are Not So Smart</em> is a celebration of our irrational, thoroughly human behavior."
"Folks, This Ain't Normal: A Farmer's Advice for Happier Hens, Healthier People, and a Better World",0892968192,"From farmer Joel Salatin's point of view, life in the 21st century just ain't normal. In FOLKS, THIS AIN'T NORMAL, he discusses how far removed we are from the simple, sustainable joy that comes from living close to the land and the people we love. Salatin has many thoughts on what normal is and shares practical and philosophical ideas for changing our lives in small ways that have big impact.<br><br>Salatin, hailed by the <em>New York Times</em> as ""Virginia's most multifaceted agrarian since Thomas Jefferson [and] the high priest of the pasture"" and profiled in the Academy Award nominated documentary <em>Food, Inc.</em> and the bestselling book <em>The Omnivore's Dilemma</em>, understands what food should be: Wholesome, seasonal, raised naturally, procured locally, prepared lovingly, and eaten with a profound reverence for the circle of life. And his message doesn't stop there. From child-rearing, to creating quality family time, to respecting the environment, Salatin writes with a wicked sense of humor and true storyteller's knack for the revealing anecdote. <br><br>Salatin's crucial message and distinctive voice--practical, provocative, scientific, and down-home philosophical in equal measure--make FOLKS, THIS AIN'T NORMAL a must-read book."
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,0446580260,"Weiner spent a decade as a foreign correspondent reporting from such discontented locales as Iraq, Afghanistan, and Indonesia. Unhappy people living in profoundly unstable states, he notes, inspire pathos and make for good copy, but not for good karma. So Weiner, admitted grump and self-help book aficionado, undertook a year's research to travel the globe, looking for the ""unheralded happy places."" The result is this book, equal parts laugh-out-loud funny and philosophical, a journey into both the definition of and the destination for true contentment.<br><br>Apparently, the happiest places on earth include, somewhat unexpectedly, Iceland, Bhutan, and India. Weiner also visits the country deemed most malcontent, Moldova, and finds real merit in the claim.<br><br>But the question remains: What makes people happy? Is it the freedom of the West or the myriad restrictions of Singapore? The simple ashrams of India or the glittering shopping malls of Qatar?<br>From the youthful drunkenness of Iceland to the despond of Slough, a sad but resilient town in Heathrow's flight path, Weiner offers wry yet profound observations about the way people relate to circumstance and fate.<br><br>Both revealing and inspirational, perhaps the best thing about this hilarious trip across four continents is that for the reader, the ""geography of bliss"" is wherever they happen to find themselves while reading it."
Squirrel Seeks Chipmunk: A Modest Bestiary,0316038393,"Featuring David Sedaris's unique blend of hilarity and heart, this new collection of keen-eyed animal-themed tales is an utter delight. Though the characters may not be human, the situations in these stories bear an uncanny resemblance to the insanity of everyday life. <br><br>In ""The Toad, the Turtle, and the Duck,"" three strangers commiserate about animal bureaucracy while waiting in a complaint line. In ""Hello Kitty,"" a cynical feline struggles to sit through his prison-mandated AA meetings. In ""The Squirrel and the Chipmunk,"" a pair of star-crossed lovers is separated by prejudiced family members.<br><br>With original illustrations by Ian Falconer, author of the bestselling <em>Olivia </em>series of children's books, these stories are David Sedaris at his most observant, poignant, and surprising."
If This Is a Man / The Truce ,0349100136,"'With the moral stamina and intellectual poise of a twentieth-century Titan, this slightly built, dutiful, unassuming chemist set out systematically to remember the German hell on earth, steadfastly to think it through, and then to render it comprehensible in lucid, unpretentious prose.  He was profoundly in touch with the minutest workings of the most endearing human events and with the most contemptible.  What has survived in Levi's writing isn't just his memory of the unbearable, but also, in <em>The Periodic Table</em> and <em>The Wrench</em>, his delight in what made the world exquisite to him.  He was himself a magically endearing man, the most delicately forceful enchanter I've ever known' - Philip Roth."
